City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Narsaq,GL,60.92,-46.05,32.0,94,75,1.57,broken clouds
257,Khandbari,NP,27.37,87.2,64.27,34,0,4.83,clear sky
258,Minggang,CN,32.46,114.05,57.27,84,0,4.27,clear sky
259,Healesville,AU,-37.65,145.52,55.99,99,93,1.52,overcast clouds
260,Ponta Delgada,PT,37.73,-25.67,69.8,94,40,14.99,scattered clouds
261,Cabo San Lucas,MX,22.89,-109.91,82.99,54,5,11.41,clear sky
262,Nanortalik,GL,60.14,-45.24,30.65,96,100,12.75,overcast clouds
263,Beidao,CN,34.57,105.89,51.8,74,77,4.43,broken clouds
264,Ostrovnoy,RU,68.05,39.51,43.25,84,100,28.34,light rain
265,Arraial Do Cabo,BR,-22.97,-42.03,78.8,94,90,6.93,mist
266,Kudat,MY,6.88,116.85,77.0,94,40,1.52,scattered clouds
267,Manado,ID,1.49,124.85,77.81,82,5,4.36,clear sky
268,Baruun-Urt,MN,46.68,113.28,36.72,62,2,12.3,clear sky
269,Araouane,ML,18.9,-3.53,88.63,12,55,5.3,broken clouds
270,Sovetskiy,RU,61.36,63.58,35.11,91,76,8.46,broken clouds
271,Tolosa,FR,43.6,1.44,55.4,82,0,1.12,clear sky
272,Fallon,US,39.47,-118.78,62.01,17,1,2.1,clear sky
273,Mihijam,IN,23.85,86.88,72.43,59,0,7.7,clear sky
274,Montefiascone,IT,42.54,12.04,57.0,84,100,1.99,overcast clouds
275,Erzin,TR,36.96,36.2,73.99,73,0,2.06,clear sky
276,Les Cayes,HT,18.2,-73.75,84.16,75,9,7.67,clear sky
277,Teluknaga,ID,-6.1,106.64,82.0,88,20,4.7,haze
278,Broken Hill,AU,-31.95,141.43,50.0,81,0,9.17,clear sky
279,Smalininkai,LT,55.07,22.58,49.5,92,100,6.71,light rain
280,Pisek,CZ,49.31,14.15,43.0,99,100,6.11,overcast clouds
281,Straumen,NO,63.87,11.3,43.0,100,75,2.24,broken clouds
282,Harper,LR,4.38,-7.72,77.52,89,99,6.26,overcast clouds
283,Gambela,ET,8.25,34.58,71.6,90,100,1.83,moderate rain
284,Mao,ES,39.89,4.27,60.8,82,0,5.82,clear sky
285,Yeppoon,AU,-23.13,150.73,73.4,83,90,2.06,overcast clouds
286,Romans-Sur-Isere,FR,45.05,5.06,51.01,83,42,4.7,scattered clouds
